Date,NIFTY,GOLD,Ratio,Up,Dn,Signal,Target,RetN,RetG,Held,StratRet,StratEq,NiftyEq,GoldEq,BalEq
2025-10-13,284.6400146484375,102.6500015258789,2.7729177829254823,3.1340275176583905,2.7768708634412693,GOLD,GOLD,-0.0030820061610196126,0.01966825661018401,GOLD,0.01966825661018401,230940.51687759807,175238.58122470914,243246.4447157723,209997.09004523122
2025-10-14,283.69000244140625,105.08999633789062,2.6994957876796564,3.1340275176583905,2.7729177829254823,GOLD,GOLD,-0.0033375918990329323,0.023770041653594864,GOLD,0.023770041653594864,236429.98258328132,174653.70635561552,249028.42283875507,212142.46754070793
2025-10-15,286.07000732421875,105.29000091552734,2.7169722180335873,3.1340275176583905,2.6994957876796564,,GOLD,0.008389456316156396,0.0019031742754433978,GOLD,0.0019031742754433978,236879.95004407733,176118.95599554077,249502.36732695604,213234.2195663014
2025-10-16,288.70001220703125,105.37000274658205,2.7398690773631587,3.1340275176583905,2.6994957876796564,,GOLD,0.009193570858449851,0.0007598236333845598,GOLD,0.0007598236333845598,237059.93702839577,177738.118097002,249691.94512223644,214295.42171955237
2025-10-17,290.1700134277344,108.11000061035156,2.6840256386045245,3.131777752538681,2.6994957876796564,GOLD,GOLD,0.005091794799263694,0.02600358538814218,GOLD,0.02600358538814218,243224.34534302127,178643.12412235924,256184.83093795384,217627.2205249474
2025-10-20,291.8599853515625,105.13999938964844,2.775917700645313,3.131777752538681,2.6840256386045245,,GOLD,0.005824075009904561,-0.027472030375872092,GOLD,-0.027472030375872092,236542.47873960616,179683.55507725154,249146.91348058873,215271.62834677557
2025-10-21,291.8699951171875,105.69000244140624,2.7615667364469796,3.0544341002646944,2.6840256386045245,,GOLD,3.4296464494598666e-05,0.005231149466907281,GOLD,0.005231149466907281,237779.8678011658,179689.7175879185,250450.23822422433,215838.37890658795
2025-10-23,292.3900146484375,101.6999969482422,2.8750248124121622,2.989067742176342,2.6840256386045245,,GOLD,0.0017816820500551334,-0.03775196708294204,GOLD,-0.03775196708294204,228803.2100589499,180009.86753232437,240995.2490748684,211956.4949014348
2025-10-27,293.3500061035156,100.13999938964844,2.9293989204261917,2.9890110598812347,2.6840256386045245,,GOLD,0.0032832566332074986,-0.015339209492677641,GOLD,-0.015339209492677641,225293.54968725852,180600.88612394268,237298.57246256896,210678.82614603973
2025-10-28,293.1000061035156,96.83999633789062,3.026642061001754,2.978290684374381,2.6840256386045245,NIFTY,NIFTY,-0.0008522242877055941,-0.032953895265341315,GOLD,-0.032953895265341315,217869.24964690764,180446.9736624067,229478.66015902246,207117.70935404542
